Month,Week,ManagedObjectid,Usage,MeterType
May,1,22723409,2000,Integrated
,,,,
May,1,22724229,2000,Integrated
,,,,
May,1,22723164,4000,Integrated
,,,,
May,1,71786569,2000,Integrated
,,,,
May,1,29531047,2000,Integrated
,,,,
May,1,22723621,3000,Integrated
,,,,
May,1,22723142,2000,Integrated
,,,,
May,1,22723257,6000,Integrated
,,,,
May,1,71786599,1000,Integrated
,,,,
May,1,22723078,7000,Integrated
,,,,
May,1,22723195,2000,Integrated
,,,,
May,1,22723507,2000,Integrated
,,,,
May,1,22723441,3000,Integrated
,,,,
May,1,22723051,6000,Integrated
,,,,
May,1,71786712,5000,Integrated
,,,,
May,1,22723725,7000,Integrated
,,,,
May,1,22723688,1000,Integrated
,,,,
May,1,29531029,2000,Integrated
,,,,
May,1,22723986,2000,Integrated
,,,,
May,1,71786706,1000,Integrated
,,,,
May,1,71786708,2000,Integrated
,,,,
May,1,29531057,3000,Integrated
,,,,
May,1,71778995,5000,Integrated
,,,,
May,1,22722993,0,Integrated
,,,,
May,1,22723311,0,Integrated
,,,,
May,1,22723272,4000,Integrated
,,,,
May,1,22723112,3000,Integrated
,,,,
May,1,22723018,4000,Integrated
,,,,
May,1,22724177,2000,Integrated
,,,,
May,1,22723834,2000,Integrated
,,,,
May,1,22722929,3000,Integrated
,,,,
May,1,22723994,0,Integrated
,,,,
May,1,22723381,3000,Integrated
,,,,
May,1,22723431,0,Integrated
,,,,
May,1,71786780,3000,Integrated
,,,,
May,1,22723073,2000,Integrated
,,,,
May,1,22540240,5000,Integrated
,,,,
May,1,22723784,2000,Integrated
,,,,
May,1,71786691,4000,Integrated
,,,,
May,1,22724202,4000,Integrated
,,,,
May,1,22724245,1000,Integrated
,,,,
May,1,22723969,1000,Integrated
,,,,
May,1,29531104,3000,Integrated
,,,,
May,1,71778993,5000,Integrated
,,,,
May,1,22723630,0,Integrated
,,,,
May,1,22723374,4000,Integrated
,,,,
May,1,71786766,4000,Integrated
,,,,
May,1,22723316,3000,Integrated
,,,,
May,1,22723625,4000,Integrated
,,,,
May,1,22723109,1000,Integrated
,,,,
May,1,71778996,3000,Integrated
,,,,
May,1,22723736,3000,Integrated
,,,,
May,1,22723177,1000,Integrated
,,,,
May,1,29531035,2000,Integrated
,,,,
May,1,22722652,1000,Integrated
,,,,
May,1,22724144,0,Integrated
,,,,
May,1,71778976,3000,Integrated
,,,,
May,1,71778989,1000,Integrated
,,,,
May,1,22723551,2000,Integrated
,,,,
May,1,22723044,1000,Integrated
,,,,
May,1,22723622,2000,Integrated
,,,,
May,1,22723814,0,Integrated
,,,,
May,1,22724161,2000,Integrated
,,,,
May,1,29531110,5000,Integrated
,,,,
May,1,22723700,7000,Integrated
,,,,
May,1,22723566,1000,Integrated
,,,,
May,1,22723620,3000,Integrated
,,,,
May,1,22723887,1000,Integrated
,,,,
May,1,22723598,0,Integrated
,,,,
May,1,22724035,10000,Integrated
,,,,
May,1,22723119,3000,Integrated
,,,,
May,1,22722900,1000,Integrated
,,,,
May,1,71786556,1000,Integrated
,,,,
May,1,22723022,2000,Integrated
,,,,
May,1,22723975,3000,Integrated
,,,,
May,1,22722654,3000,Integrated
,,,,
May,1,22722619,3000,Integrated
,,,,
May,1,71786807,0,Integrated
,,,,
May,1,22722960,3000,Integrated
,,,,
May,1,22723631,1000,Integrated
,,,,
May,1,22723999,0,Integrated
,,,,
May,1,22722920,3000,Integrated
,,,,
May,1,22722632,2000,Integrated
,,,,
May,1,22723801,3000,Integrated
,,,,
May,1,22724105,1000,Integrated
,,,,
May,1,71786785,5000,Integrated
,,,,
May,1,22722671,7000,Integrated
,,,,
May,1,22723795,6000,Integrated
,,,,
May,1,22723470,2000,Integrated
,,,,
May,1,22724154,3000,Integrated
,,,,
May,1,22722966,7000,Integrated
,,,,
May,1,22724178,3000,Integrated
,,,,
May,1,22723905,2000,Integrated
,,,,
May,1,22724232,-1,Integrated
,,,,
May,1,71786727,6000,Integrated
,,,,
May,1,77759546,4000,Integrated
,,,,
May,1,22723778,2000,Integrated
,,,,
May,1,22723615,1000,Integrated
,,,,
May,1,71786648,1000,Integrated
,,,,
May,1,22723691,5000,Integrated
,,,,
May,1,22723782,4000,Integrated
,,,,
May,1,71786534,0,Integrated
,,,,
May,1,22723831,3000,Integrated
,,,,
May,1,22723662,4000,Integrated
,,,,
May,1,22722628,3000,Integrated
,,,,
May,1,77759529,8000,Integrated
,,,,
May,1,22723394,1000,Integrated
,,,,
May,1,22724219,4000,Integrated
,,,,
May,1,22723101,1000,Integrated
,,,,
May,1,71786699,3000,Integrated
,,,,
May,1,71778968,1000,Integrated
,,,,
May,1,22723097,4000,Integrated
,,,,
May,1,22723056,3000,Integrated
,,,,
May,1,71786564,3000,Integrated
,,,,
May,1,22722667,2000,Integrated
,,,,
May,1,71786781,3000,Integrated
,,,,
May,1,22723633,1000,Integrated
,,,,
May,1,22724179,3000,Integrated
,,,,
May,1,71786734,2000,Integrated
,,,,
May,1,22724207,0,Integrated
,,,,
May,1,22724156,4000,Integrated
,,,,
May,1,22723491,3000,Integrated
,,,,
May,1,22724261,2000,Integrated
,,,,
May,1,22723357,6000,Integrated
,,,,
May,1,71786622,2000,Integrated
,,,,
May,1,22723500,4000,Integrated
,,,,
May,1,22724230,2000,Integrated
,,,,
May,1,22723526,3000,Integrated
,,,,
May,1,22724104,2000,Integrated
,,,,
May,1,71786548,0,Integrated
,,,,
May,1,22723080,1000,Integrated
,,,,
May,1,22723011,1000,Integrated
,,,,
May,1,22722693,3000,Integrated
,,,,
May,1,22723516,2000,Integrated
,,,,
May,1,22723435,1000,Integrated
,,,,
May,1,22724201,2000,Integrated
,,,,
May,1,29531018,1000,Integrated
,,,,
May,1,22723214,3000,Integrated
,,,,
May,1,22723373,1000,Integrated
,,,,
May,1,22724151,0,Integrated
,,,,
May,1,71786811,2000,Integrated
,,,,
May,1,22723484,1000,Integrated
,,,,
May,1,22723278,1000,Integrated
,,,,
May,1,22722650,4000,Integrated
,,,,
May,1,22723879,1000,Integrated
,,,,
May,1,29531100,2000,Integrated
,,,,
May,1,29531115,1000,Integrated
,,,,
May,1,22723115,5000,Integrated
,,,,
May,1,29531152,3000,Integrated
,,,,
May,1,22724157,3000,Integrated
,,,,
May,1,22722962,1000,Integrated
,,,,
May,1,71786682,2000,Integrated
,,,,
May,1,77759528,3000,Integrated
,,,,
